Device,DATASHEET,PURCHASE-URL
ADAFRUIT_LEDCHIP-LED0603,https://dammedia.osram.info/media/resource/hires/osram-dam-5178061/LH%20R974_EN.pdf,https://eu.mouser.com/ProductDetail/ams-OSRAM/LH-R974?qs=rUek3o0zKEvmwAoLLbCfCQ%3D%3D
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
SJ,,
EAGLE-LTSPICE_CC0402,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
EAGLE-LTSPICE_CC0402,,
ESP32_WROVER_EAGLE-LTSPICE_CC0402,,
RCL_CPOL-EUCT3528,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
ESP32_WROVER_EAGLE-LTSPICE_CC0402,,
112A-TAAR-R03_ATTEND,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
EAGLE-LTSPICE_CC0402,,
EAGLE-LTSPICE_CC0402,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
EAGLE-LTSPICE_CC0402,,
ESP32_WROVER_EAGLE-LTSPICE_CC0402,,
ESP32_WROVER_EAGLE-LTSPICE_RR0402,,
744043680IND_4828-WE-TPC_WRE,,
BD5229G-TR,,
ESP32_WROVER_BME680_BME680,,
BUTTON_CUSYOMV1,,
CPH3225A,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=562593&manufacturer=Seiko Instruments&part_name=CPH3225A&search_term=None
DS3231SN#,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=99048&manufacturer=Analog Devices&part_name=DS3231SN#&search_term=None
ESP32-C6-WROOM-1-N8,,
ESP32C6_VARISTORCN1812,,
ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,http://datasheets.avx.com/schottky.pdf,
ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,,
FH34SRJ-24S-0.5SH_99_,,
MAX17048G+T10,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=329239&manufacturer=Analog Devices&part_name=MAX17048G+T10&search_term=None
MBR0530,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=179458&manufacturer=ON Semiconductor&part_name=MBR0530&search_term=None
PGB1010603MR,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=5659453&manufacturer=Littelfuse Inc.&part_name=PGB1010603MR&search_term=None
QWIIC_CONNECTORJS-1MM,,
SAMACSYS_PARTS_USB4110-GF-A,,
ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,http://datasheets.avx.com/schottky.pdf,
SI1308EDL-T1-GE3,,
TPTP20R,,
USBLC6-2SC6Y,,
W25Q512JVEIQ,,
XC6220A331MR-G,,
